PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,FP
Tim Hardaway Jr.,DET,DET vs. TOR,11/25/2024,W,35,10,3,6,50.0,2,4,50.0,2,2,100,0,2,2,1,0,0,1,0,12,12.9
Malik Beasley,DET,DET vs. TOR,11/25/2024,W,33,14,4,16,25.0,3,14,21.4,3,4,75.0,0,2,2,5,1,0,3,3,10,23.9
Bruno Fernando,TOR,TOR @ DET,11/25/2024,L,14,9,4,7,57.1,0,0,-,1,2,50.0,3,1,4,5,0,0,0,4,13,21.3
RJ Barrett,TOR,TOR @ DET,11/25/2024,L,34,17,7,19,36.8,1,6,16.7,2,2,100,0,3,3,2,1,0,3,4,-16,23.6
Isaiah Stewart,DET,DET vs. TOR,11/25/2024,W,23,9,3,6,50.0,0,1,0.0,3,3,100,3,4,7,2,1,3,1,3,-16,31.4
Jaden Ivey,DET,DET vs. TOR,11/25/2024,W,36,25,10,13,76.9,2,4,50.0,3,6,50.0,0,5,5,8,1,0,3,2,25,43.0
Ronald Holland II,DET,DET vs. TOR,11/25/2024,W,11,4,2,5,40.0,0,2,0.0,0,0,-,0,1,1,0,0,0,0,2,-2,5.2
Jamison Battle,TOR,TOR @ DET,11/25/2024,L,22,9,4,9,44.4,1,5,20.0,0,0,-,1,3,4,1,1,1,0,2,20,21.3
James Harden,LAC,LAC @ BOS,11/25/2024,L,30,19,8,17,47.1,3,8,37.5,0,0,-,0,8,8,9,0,0,5,1,-14,37.1
Jrue Holiday,BOS,BOS vs. LAC,11/25/2024,W,29,5,2,10,20.0,1,8,12.5,0,0,-,1,3,4,6,0,0,1,1,13,17.8
Kris Dunn,LAC,LAC @ BOS,11/25/2024,L,22,2,1,5,20.0,0,2,0.0,0,0,-,0,4,4,2,3,1,2,2,0,19.8
Ivica Zubac,LAC,LAC @ BOS,11/25/2024,L,29,23,11,14,78.6,0,0,-,1,4,25.0,3,7,10,1,0,1,1,0,-13,38.5
Derrick Jones Jr.,LAC,LAC @ BOS,11/25/2024,L,25,11,4,6,66.7,1,2,50.0,2,2,100,0,2,2,1,0,0,1,2,-13,13.9
Jayson Tatum,BOS,BOS vs. LAC,11/25/2024,W,30,20,7,15,46.7,2,6,33.3,4,6,66.7,1,8,9,4,0,2,3,1,15,39.8
Neemias Queta,BOS,BOS vs. LAC,11/25/2024,W,25,12,5,6,83.3,0,0,-,2,2,100,2,7,9,3,2,4,1,3,29,44.3
Xavier Tillman,BOS,BOS vs. LAC,11/25/2024,W,5,0,0,0,-,0,0,-,0,0,-,0,2,2,0,0,0,0,0,4,2.4
Jaden Springer,BOS,BOS vs. LAC,11/25/2024,W,5,3,1,2,50.0,0,0,-,1,2,50.0,0,1,1,2,1,0,0,1,4,10.2
Kai Jones,LAC,LAC @ BOS,11/25/2024,L,9,3,1,2,50.0,0,0,-,1,1,100,0,2,2,1,1,0,0,0,-5,9.9
Baylor Scheierman,BOS,BOS vs. LAC,11/25/2024,W,5,0,0,1,0.0,0,0,-,0,0,-,1,1,2,1,0,0,0,0,4,3.9
Kobe Brown,LAC,LAC @ BOS,11/25/2024,L,5,3,1,2,50.0,1,1,100,0,0,-,0,0,0,0,0,0,0,0,-7,3.0
Jordan Walsh,BOS,BOS vs. LAC,11/25/2024,W,7,5,2,3,66.7,1,2,50.0,0,0,-,0,0,0,0,0,2,0,1,8,11.0
Clint Capela,ATL,ATL vs. DAL,11/25/2024,L,22,12,5,7,71.4,0,0,-,2,3,66.7,2,3,5,1,1,2,0,1,11,28.5
Maxi Kleber,DAL,DAL @ ATL,11/25/2024,W,20,7,3,4,75.0,1,1,100,0,0,-,1,6,7,1,1,1,1,2,15,21.9
Trae Young,ATL,ATL vs. DAL,11/25/2024,L,35,18,5,12,41.7,2,4,50.0,6,7,85.7,1,1,2,16,3,0,3,2,-1,50.4
Dyson Daniels,ATL,ATL vs. DAL,11/25/2024,L,35,17,7,14,50.0,1,4,25.0,2,2,100,1,0,1,2,2,2,1,2,1,32.2
Jaden Hardy,DAL,DAL @ ATL,11/25/2024,W,32,23,8,18,44.4,2,7,28.6,5,7,71.4,0,3,3,2,3,0,6,2,-6,32.6
Dereck Lively II,DAL,DAL @ ATL,11/25/2024,W,11,2,0,2,0.0,0,0,-,2,2,100,2,2,4,2,0,2,0,2,-3,15.8
Olivier-Maxence Prosper,DAL,DAL @ ATL,11/25/2024,W,4,0,0,0,-,0,0,-,0,0,-,0,1,1,1,0,0,0,0,10,2.7
Jazian Gortman,DAL,DAL @ ATL,11/25/2024,W,5,0,0,2,0.0,0,1,0.0,0,0,-,1,0,1,0,0,0,0,0,7,1.2
Zaccharie Risacher,ATL,ATL vs. DAL,11/25/2024,L,17,5,2,8,25.0,1,3,33.3,0,0,-,0,2,2,2,0,0,1,1,6,9.4
Kobe Bufkin,ATL,ATL vs. DAL,11/25/2024,L,13,4,2,3,66.7,0,1,0.0,0,0,-,0,4,4,4,0,0,0,2,-9,14.8
Nikola Jokić,DEN,DEN vs. NYK,11/25/2024,L,32,22,9,20,45.0,2,7,28.6,2,2,100,3,4,7,7,1,0,0,1,-20,43.9
Cam Thomas,BKN,BKN @ GSW,11/25/2024,W,23,23,6,11,54.5,3,7,42.9,8,8,100,0,3,3,1,0,0,1,1,-5,27.1
Jalen Wilson,BKN,BKN @ GSW,11/25/2024,W,41,18,5,11,45.5,3,8,37.5,5,5,100,0,7,7,2,0,1,1,2,19,31.4
Trayce Jackson-Davis,GSW,GSW vs. BKN,11/25/2024,L,17,8,4,7,57.1,0,0,-,0,0,-,1,2,3,1,0,1,2,2,-1,14.1
Domantas Sabonis,SAC,SAC vs. OKC,11/25/2024,L,35,21,7,11,63.6,1,2,50.0,6,8,75.0,2,8,10,3,3,1,4,5,-13,45.5
Shake Milton,BKN,BKN @ GSW,11/25/2024,W,28,13,5,10,50.0,2,3,66.7,1,2,50.0,0,3,3,3,0,0,1,1,11,20.1
Ziaire Williams,BKN,BKN @ GSW,11/25/2024,W,37,19,6,11,54.5,2,3,66.7,5,6,83.3,2,8,10,4,2,0,3,2,12,40.0
Jonathan Isaac,ORL,ORL @ CHA,11/25/2024,W,22,11,4,14,28.6,3,10,30.0,0,0,-,3,3,6,0,1,2,0,4,5,27.2
Cody Martin,CHA,CHA vs. ORL,11/25/2024,L,25,4,2,6,33.3,0,4,0.0,0,0,-,0,6,6,2,1,0,1,2,-14,16.2
